address,application_for,ballots_cast,ballots_in_favour,ballots_opposed,close_date,poll_result,response_rate_met,percent_in_favour
220 Roselawn Ave,Appeal - Front Yard Parking,32,30,2,2017-01-21,In Favour,Yes,93.75
76 Duggan Ave,Appeal - Front Yard Parking,54,50,0,2017-01-18,In Favour,Yes,92.5925925925926
88 Balmoral Ave,Appeal - Front Yard Parking,53,22,27,2017-01-11,Opposed,Yes,41.509433962264154
103 Roslin Ave,Appeal - Front Yard Parking,26,12,9,2017-01-18,Opposed,Yes,46.15384615384615
251 Oakwood Ave,Front Yard Parking,46,40,1,2017-01-18,In Favour,Yes,86.95652173913044
425 Willard Ave,Front Yard Parking,41,41,0,2017-01-19,In Favour,Yes,100
13 Chilton Rd,Front Yard Parking,28,24,0,2017-01-19,In Favour,Yes,85.71428571428571
97 Harbord St,Boulevard Cafe,25,15,7,2017-03-11,In Favour,Yes,60
111 Auburn Ave,Front Yard Parking,34,29,0,2017-01-20,In Favour,Yes,85.29411764705883
2256 Bloor St W,Boulevard Cafe,35,25,10,2017-02-09,In Favour,Yes,71.42857142857143
493A Hopewell Ave,Front Yard Parking,16,13,1,2017-02-10,In Favour,Yes,81.25
396 Old Orchard Grv,Front Yard Parking,27,25,1,2017-02-10,In Favour,Yes,92.5925925925926
10 Thornhill Ave,Front Yard Parking,36,33,2,2017-02-11,In Favour,Yes,91.66666666666666
281 Willow Ave (former Toronto),Front Yard Parking,45,36,4,2017-02-10,In Favour,Yes,80
248 Glen Manor Dr W,Front Yard Parking,5,4,0,2017-02-18,In Favour,Yes,80
23 Hollis St,Front Yard Parking,24,24,0,2017-02-11,In Favour,Yes,100
64 Hounslow Heath Rd,Appeal - Front Yard Parking,34,31,2,2017-03-02,In Favour,Yes,91.17647058823529
9 Ravenal St,Front Yard Parking,56,54,0,2017-02-24,In Favour,Yes,96.42857142857143
3 Sykes Ave,Front Yard Parking,13,13,0,2017-02-23,In Favour,Yes,100
26 Melrose Ave,Front Yard Parking,35,34,0,2017-02-25,In Favour,Yes,97.14285714285714
560 Willard Ave,Appeal - Front Yard Parking,20,4,16,2017-02-25,Opposed,Yes,20
40 Deforest Rd,Front Yard Parking,23,22,1,2017-02-25,In Favour,Yes,95.65217391304348
482 Armadale Ave,Front Yard Parking,52,35,14,2017-03-09,In Favour,Yes,67.3076923076923
38 Lessard Ave,Appeal - Front Yard Parking,58,53,0,2017-03-08,In Favour,Yes,91.37931034482759
169 Lee Ave,Front Yard Parking,53,50,2,2017-03-08,In Favour,Yes,94.33962264150944
257 Broadway Ave,Front Yard Parking,59,57,0,2017-03-15,In Favour,Yes,96.61016949152543
220 Prescott Ave,Appeal - Front Yard Parking,79,66,5,2017-03-23,In Favour,Yes,83.54430379746836
96 Hope St,Appeal - Front Yard Parking,28,24,0,2017-03-23,In Favour,Yes,85.71428571428571
174 Chambers Ave,Front Yard Parking,45,40,0,2017-03-16,In Favour,Yes,88.88888888888889
108 Gilbert Ave,Appeal - Front Yard Parking,66,53,3,2017-03-18,In Favour,Yes,80.3030303030303
153 Blackthorn Ave,Appeal - Front Yard Parking,54,40,7,2017-03-23,In Favour,Yes,74.07407407407408
88 Balmoral Ave,Appeal - Front Yard Parking,85,59,21,2017-03-15,In Favour,Yes,69.41176470588235
487 Adelaide St W,Boulevard Cafe,3,2,1,2017-03-29,Opposed,Yes,66.66666666666666
1540 Dupont St,Boulevard Cafe,42,7,28,2017-04-05,Opposed,Yes,16.666666666666664
42 Chilton Rd,Front Yard Parking,46,29,11,2017-04-12,In Favour,Yes,63.04347826086957
127 Memorial Park Ave,Front Yard Parking,12,12,0,2017-04-19,In Favour,Yes,100
157 Craighurst Ave,Front Yard Parking,52,43,2,2017-04-13,In Favour,Yes,82.6923076923077
25 Mahoney Ave,Front Yard Parking,36,30,0,2017-04-13,In Favour,Yes,83.33333333333334
87 Bicknell Ave,Front Yard Parking,23,21,0,2017-04-14,In Favour,Yes,91.30434782608695
220 Winona Dr,Front Yard Parking,33,25,0,2017-04-21,In Favour,Yes,75.75757575757575
387 Merton St,Front Yard Parking,42,29,8,2017-04-12,In Favour,Yes,69.04761904761905
458 Quebec Ave,Front Yard Parking,45,36,6,2017-04-14,In Favour,Yes,80
247 Brookdale Ave,Front Yard Parking,15,15,0,2017-04-22,In Favour,Yes,100
30 Ravenal St,Appeal - Front Yard Parking,47,41,2,2017-04-19,In Favour,Yes,87.2340425531915
287 Lauder Ave,Appeal - Front Yard Parking,40,34,5,2017-04-21,In Favour,Yes,85
299 Kane Ave,Appeal - Front Yard Parking,19,17,2,2017-04-20,In Favour,Yes,89.47368421052632
253 Wychwood Ave,Front Yard Parking,12,12,0,2017-04-22,In Favour,Yes,100
198 Warren Rd,Appeal - Front Yard Parking,12,8,2,2017-04-22,In Favour,Yes,66.66666666666666
888 Danforth Ave,Boulevard Cafe,13,13,0,2017-04-26,In Favour,Yes,100
160 Pinewood Ave,Front Yard Parking,39,33,2,2017-05-03,In Favour,Yes,84.61538461538461
71 Ronald Ave,Front Yard Parking,20,17,0,2017-05-03,In Favour,Yes,85
166 Wineva Ave,Front Yard Parking,46,37,8,2017-04-29,In Favour,Yes,80.43478260869566
335 Monarch Park Ave,Front Yard Parking,41,31,2,2017-05-05,In Favour,Yes,75.60975609756098
129 Winnett Ave,Front Yard Parking,37,35,0,2017-05-05,In Favour,Yes,94.5945945945946
2 Yarrow Rd,Appeal - Front Yard Parking,28,20,4,2017-05-06,In Favour,Yes,71.42857142857143
47 Ferrier Ave,Front Yard Parking,55,44,10,2017-05-11,In Favour,Yes,80
1020 Gerrard St E,Boulevard Cafe,6,1,5,2017-05-10,Response Rate Not Met,No,16.666666666666664
1686 St Clair Ave W,Boulevard Cafe,5,4,1,2017-05-10,Response Rate Not Met,No,80
51A Auburn Ave,Front Yard Parking,55,43,7,2017-05-13,In Favour,Yes,78.18181818181819
33 Ravenal St,Appeal - Front Yard Parking,32,28,3,2017-05-18,In Favour,Yes,87.5
764 Jane St,Appeal - Front Yard Parking,6,6,0,2017-05-18,In Favour,Yes,100
161 Waverley Rd,Appeal - Front Yard Parking,55,19,33,2017-05-13,Opposed,Yes,34.54545454545455
22 Norval St,Appeal - Front Yard Parking,31,23,8,2017-05-20,In Favour,Yes,74.19354838709677
22 Cedar Ave,Appeal - Front Yard Parking,31,10,20,2017-05-13,Opposed,Yes,32.25806451612903
38A Thelma Ave,Appeal - Front Yard Parking,23,18,3,2017-05-18,In Favour,Yes,78.26086956521739
131 Cedric Ave,Appeal - Front Yard Parking,58,40,10,2017-05-19,In Favour,Yes,68.96551724137932
14 Petman Ave,Appeal - Front Yard Parking,32,30,1,2017-05-24,In Favour,Yes,93.75
95 Ellins Ave,Appeal - Front Yard Parking,11,11,0,2017-05-24,In Favour,Yes,100
90 Wheeler Ave,Appeal - Front Yard Parking,67,55,7,2017-05-20,In Favour,Yes,82.08955223880598
55 Glenwood Ave,Front Yard Parking,55,49,4,2017-05-25,In Favour,Yes,89.0909090909091
263 Lauder Ave,Front Yard Parking,54,39,0,2017-05-25,In Favour,Yes,72.22222222222221
126 Lambton Ave,Front Yard Parking,44,32,4,2017-05-26,In Favour,Yes,72.72727272727273
489 Glenlake Ave,Appeal - Front Yard Parking,30,26,2,2017-06-09,In Favour,Yes,86.66666666666667
36 Keith Ave,Front Yard Parking,21,16,2,2017-06-24,In Favour,Yes,76.19047619047619
47 Florence Cres,Front Yard Parking,33,29,2,2017-06-22,In Favour,Yes,87.87878787878788
49 Ardagh St,Front Yard Parking,27,13,8,2017-06-24,Opposed,Yes,48.148148148148145
37 Alberta Ave,Front Yard Parking,31,20,7,2017-07-01,In Favour,Yes,64.51612903225806
230 Augusta Ave,Boulevard Cafe,6,5,1,2017-07-05,Response Rate Not Met,No,83.33333333333334
15 Highview Cres,Appeal - Front Yard Parking,42,27,12,2017-07-08,In Favour,Yes,64.28571428571429
180 Eglinton Ave E,Boulevard Cafe,48,14,29,2017-07-06,Opposed,Yes,29.166666666666668
1402 Queen St E,Boulevard Cafe,11,8,3,2017-07-13,In Favour,Yes,72.72727272727273
955 Mount Pleasant Rd,Boulevard Cafe,21,16,5,2017-07-06,In Favour,Yes,76.19047619047619
1122 Queen St W,Boulevard Cafe,31,4,18,2017-07-07,Response Rate Not Met,No,12.903225806451612
2102 Queen St E,Boulevard Cafe,11,9,0,2017-07-12,In Favour,Yes,81.81818181818183
771 Dundas St W,Boulevard Cafe,7,6,0,2017-07-08,Response Rate Not Met,No,85.71428571428571
1094 Yonge St,Boulevard Cafe,37,20,15,2017-07-15,In Favour,Yes,54.054054054054056
1500 St Clair Ave W,Boulevard Cafe,8,1,7,2017-07-13,Response Rate Not Met,No,12.5
186 Quebec Ave,Appeal - Front Yard Parking,53,18,34,2017-07-26,Opposed,Yes,33.9622641509434
188 Quebec Ave,Appeal - Front Yard Parking,51,17,33,2017-07-26,Opposed,Yes,33.33333333333333
121 Browning Ave,Appeal - Front Yard Parking,32,16,12,2017-07-22,Opposed,Yes,50
839 Queen St W,Boulevard Cafe,3,2,1,2017-07-21,Response Rate Not Met,No,66.66666666666666
1176 Queen St W,Boulevard Cafe,18,5,9,2017-07-21,Response Rate Not Met,No,27.77777777777778
3 Weatherell St,Front Yard Parking,32,29,0,2017-07-20,In Favour,Yes,90.625
12 Ardrossan Pl,Front Yard Parking,28,17,9,2017-07-22,In Favour,Yes,60.71428571428571
150 Rushton Rd,Front Yard Parking,41,8,30,2017-07-28,Opposed,Yes,19.51219512195122
1960 Queen St E,Boulevard Cafe,36,23,8,2017-08-11,In Favour,Yes,63.888888888888886
101 Craighurst Ave,Front Yard Parking,42,37,0,2017-08-30,In Favour,Yes,88.09523809523809
61 Thurston Rd,Front Yard Parking,22,17,5,2017-08-26,In Favour,Yes,77.27272727272727
62 Raymond Ave,Front Yard Parking,25,13,6,2017-08-26,Opposed,Yes,52
349 Windermere Ave,Appeal - Front Yard Parking,16,14,2,2017-08-30,In Favour,Yes,87.5
11 Hollis St,Front Yard Parking,28,26,0,2017-08-31,In Favour,Yes,92.85714285714286
265 Evelyn Ave,Front Yard Parking,42,32,9,2017-08-31,In Favour,Yes,76.19047619047619
18 Bayliss Ave,Appeal - Front Yard Parking,30,27,1,2017-09-07,In Favour,Yes,90
52 Elmer Ave,Appeal - Front Yard Parking,57,19,38,2017-08-31,Opposed,Yes,33.33333333333333
74 Scarboro Beach Blvd,Appeal - Front Yard Parking,62,42,10,2017-09-02,In Favour,Yes,67.74193548387096
29 Wells Hill Ave,Appeal - Front Yard Parking,46,39,5,2017-09-02,In Favour,Yes,84.78260869565217
52 Leuty Ave,Appeal - Front Yard Parking,31,15,14,2017-09-07,Opposed,Yes,48.38709677419355
135 Duvernet Ave,Appeal - Front Yard Parking,36,16,19,2017-09-07,Opposed,Yes,44.44444444444444
123 Belsize Dr,Front Yard Parking,15,12,2,2017-09-08,In Favour,Yes,80
1312 St Clair Ave W,Boulevard Cafe,33,5,28,2017-09-09,Response Rate Not Met,No,15.151515151515152
30 Mc Cord Rd,Front Yard Parking,32,29,1,2017-09-20,In Favour,Yes,90.625
76 Gothic Ave,Front Yard Parking,42,29,13,2017-09-21,In Favour,Yes,69.04761904761905
796 College St (former Toronto),Boulevard Cafe,33,16,10,2017-10-06,Opposed,Yes,48.484848484848484
67 St Annes Rd,Front Yard Parking,29,24,1,2017-10-07,In Favour,Yes,82.75862068965517
36 Morland Rd,Front Yard Parking,38,33,2,2017-10-13,In Favour,Yes,86.8421052631579
1535 Yonge St,Boulevard Cafe,2,1,1,2017-10-19,Response Rate Not Met,No,50
177 Arlington Ave,Front Yard Parking,24,13,11,2017-10-18,In Favour,Yes,54.166666666666664
34 Ellerbeck St,Appeal - Front Yard Parking,32,7,24,2017-10-18,Opposed,Yes,21.875
162 Moore Ave,Appeal - Front Yard Parking,31,25,1,2017-10-19,In Favour,Yes,80.64516129032258
41 Thornhill Ave,Front Yard Parking,37,27,1,2017-10-19,In Favour,Yes,72.97297297297297
358 Bartlett Ave N,Appeal - Front Yard Parking,94,61,9,2017-10-25,In Favour,Yes,64.8936170212766
8 Cliff St,Front Yard Parking,19,16,1,2017-10-20,In Favour,Yes,84.21052631578947
12 Pinehill Cres,Front Yard Parking,11,5,6,2017-11-09,Opposed,Yes,45.45454545454545
289 Windermere Ave,Front Yard Parking,46,38,8,2017-11-04,In Favour,Yes,82.6086956521739
3305 Yonge St,Boulevard Cafe,20,14,3,2017-11-10,In Favour,Yes,70
415 Spadina Rd,Boulevard Cafe,40,39,1,2017-11-15,Response Rate Not Met,No,97.5
186 Quebec Ave,Appeal - Front Yard Parking,47,30,16,2017-11-18,In Favour,Yes,63.829787234042556
188 Quebec Ave,Appeal - Front Yard Parking,44,29,14,2017-11-18,In Favour,Yes,65.9090909090909
859 Bloor St W,Boulevard Cafe,39,30,7,2017-11-29,In Favour,Yes,76.92307692307693
76 Castlefield Ave,Front Yard Parking,74,69,2,2017-11-22,In Favour,Yes,93.24324324324324
97 Roslin Ave,Appeal - Front Yard Parking,21,6,13,2017-11-29,Opposed,Yes,28.57142857142857
2755 Dundas St W,Boulevard Cafe,31,17,6,2017-12-02,In Favour,Yes,54.83870967741935
52 Belvidere Ave,Appeal - Front Yard Parking,23,17,5,2017-11-30,In Favour,Yes,73.91304347826086
33 Church St (York),Front Yard Parking,5,5,0,2017-12-09,Response Rate Not Met,No,100
128 Cameron Ave (York),Front Yard Parking,52,45,0,2017-12-13,In Favour,Yes,86.53846153846155
87 Hanna Rd,Front Yard Parking,30,8,21,2018-01-03,Opposed,Yes,26.666666666666668
9 Bellefair Ave,Appeal - Front Yard Parking,42,34,1,2018-01-03,In Favour,Yes,80.95238095238095
383 Quebec Ave,Front Yard Parking,41,36,2,2018-01-06,In Favour,Yes,87.8048780487805
108 Mountview Ave,Front Yard Parking,12,9,0,2018-01-06,In Favour,Yes,75
22 Bushey Ave,Front Yard Parking,47,38,5,2018-01-10,In Favour,Yes,80.85106382978722
492 St Clarens Ave,Appeal - Front Yard Parking,39,29,6,2018-01-12,In Favour,Yes,74.35897435897436
479 Danforth Ave,Boulevard Cafe,17,12,4,2018-01-17,In Favour,Yes,70.58823529411765
118 Robina Ave,Appeal - Front Yard Parking,57,30,5,2018-02-14,In Favour,Yes,52.63157894736842
17 Dilworth Cres,Appeal - Front Yard Parking,53,46,2,2018-02-15,In Favour,Yes,86.79245283018868
21 Braeside Rd,Front Yard Parking,31,30,0,2018-02-17,In Favour,Yes,96.7741935483871
1288 Dundas St W,Boulevard Cafe,31,11,8,2018-02-21,Opposed,Yes,35.483870967741936
125 Trowell Ave,Appeal - Front Yard Parking,28,24,1,2018-02-17,In Favour,Yes,85.71428571428571
46 Bicknell Ave,Appeal - Front Yard Parking,12,12,0,2018-02-10,Response Rate Not Met,No,100
255 Campbell Ave,Front Yard Parking,41,33,1,2018-02-14,In Favour,Yes,80.48780487804879
24 Homeview Ave,Front Yard Parking,33,26,3,2018-02-14,In Favour,Yes,78.78787878787878
50 Guestville Ave,Front Yard Parking,36,32,2,2018-02-16,In Favour,Yes,88.88888888888889
14 Edgewood Grv,Front Yard Parking,19,19,0,2018-02-17,In Favour,Yes,100
425 Armadale Ave,Front Yard Parking,33,33,0,2018-02-22,In Favour,Yes,100
354 Wallace Ave,Front Yard Parking,23,23,0,2018-03-15,In Favour,Yes,100
41 Rusholme Dr,Front Yard Parking,21,21,0,2018-02-24,In Favour,Yes,100
19 Le May Rd,Appeal - Front Yard Parking,38,21,15,2018-02-28,In Favour,Yes,55.26315789473685
26 St Annes Rd,Appeal - Front Yard Parking,26,24,0,2018-03-03,In Favour,Yes,92.3076923076923
72 Coolmine Rd,Appeal - Front Yard Parking,46,37,5,2018-02-28,In Favour,Yes,80.43478260869566
444 Westmount Ave,Appeal - Front Yard Parking,36,22,9,2018-02-28,Response Rate Not Met,No,61.111111111111114
83 Campbell Ave,Appeal - Front Yard Parking,46,42,0,2018-03-01,In Favour,Yes,91.30434782608695
884 Queen St E,Boulevard Cafe,33,26,5,2018-03-10,In Favour,Yes,78.78787878787878
97 Roslin Ave,Appeal - Front Yard Parking,28,12,14,2018-03-07,Opposed,Yes,42.857142857142854
160 Cedric Ave,Appeal - Front Yard Parking,53,23,23,2018-03-02,Opposed,Yes,43.39622641509434
328 Glenholme Ave,Front Yard Parking,20,14,3,2018-03-16,In Favour,Yes,70
165 Wallace Ave,Front Yard Parking,17,15,0,2018-03-17,Response Rate Not Met,No,88.23529411764706
53 Brookside Ave,Appeal - Front Yard Parking,37,31,4,2018-03-28,In Favour,Yes,83.78378378378379
55 Brookside Ave,Appeal - Front Yard Parking,37,31,3,2018-03-29,In Favour,Yes,83.78378378378379
104 Mountview Ave,Appeal - Front Yard Parking,11,11,0,2018-03-29,In Favour,Yes,100
299 Mortimer Ave,Appeal - Front Yard Parking,52,43,8,2018-03-23,In Favour,Yes,82.6923076923077
161 Linsmore Cres,Appeal - Front Yard Parking,54,42,12,2018-03-23,In Favour,Yes,77.77777777777779
102 Mountview Ave,Appeal - Front Yard Parking,13,13,0,2018-03-24,In Favour,Yes,100
29 Rowland St,Front Yard Parking,32,29,0,2018-03-22,In Favour,Yes,90.625
57 Beresford Ave,Front Yard Parking,41,33,4,2018-03-24,In Favour,Yes,80.48780487804879
358 Fairlawn Ave,Front Yard Parking,29,27,0,2018-03-29,In Favour,Yes,93.10344827586206
45 Poplar Plains Cres,Front Yard Parking,32,24,5,2018-04-04,In Favour,Yes,75
119 Russett Ave,Front Yard Parking,63,56,2,2018-04-05,In Favour,Yes,88.88888888888889
53 Denison Rd W,Front Yard Parking,47,39,0,2018-04-05,In Favour,Yes,82.97872340425532
9 Durie St,Appeal - Front Yard Parking,30,25,3,2018-03-28,In Favour,Yes,83.33333333333334
272 Rusholme Rd,Front Yard Parking,33,14,17,2018-03-30,Opposed,Yes,42.42424242424242
266 Waverley Rd,Appeal - Front Yard Parking,49,23,23,2018-03-30,Opposed,Yes,46.93877551020408
102 Bellefair Ave,Appeal - Front Yard Parking,43,13,30,2018-04-04,Opposed,Yes,30.23255813953488
42 Bellhaven Rd,Appeal - Front Yard Parking,42,37,0,2018-04-12,In Favour,Yes,88.09523809523809
117 Symington Ave,Front Yard Parking,91,86,1,2018-04-13,In Favour,Yes,94.5054945054945
432 Margueretta St,Front Yard Parking,49,33,4,2018-04-06,In Favour,Yes,67.3469387755102
5 Osler St,Front Yard Parking,35,29,3,2018-04-14,In Favour,Yes,82.85714285714286
245 Symington Ave,Front Yard Parking,32,28,0,2018-04-18,In Favour,Yes,87.5
715 Oriole Pkwy,Appeal - Front Yard Parking,7,5,1,2018-04-12,Response Rate Not Met,No,71.42857142857143
890 College St (former Toronto),Boulevard Cafe,13,10,2,2018-04-07,Response Rate Not Met,No,76.92307692307693
4 Glencairn Ave,Front Yard Parking,33,28,0,2018-04-19,In Favour,Yes,84.84848484848484
62 Runnymede Rd,Front Yard Parking,58,48,6,2018-04-11,In Favour,Yes,82.75862068965517
104 Highland Ave,Appeal - Front Yard Parking,5,4,0,2018-04-11,Response Rate Not Met,No,80
633 Lauder Ave,Appeal - Front Yard Parking,10,8,1,2018-04-06,In Favour,Yes,80
343 Melrose Ave,Front Yard Parking,11,9,0,2018-04-13,In Favour,Yes,81.81818181818183
244 Perth Ave,Commercial Boulevard Parking,19,11,8,2018-04-27,In Favour,Yes,57.89473684210527
223 Hamilton St,Appeal - Front Yard Parking,43,28,15,2018-04-20,In Favour,Yes,65.11627906976744
249 Arlington Ave,Front Yard Parking,41,34,5,2018-04-19,In Favour,Yes,82.92682926829268
17 Guestville Ave,Front Yard Parking,48,43,5,2018-04-20,In Favour,Yes,89.58333333333334
392 Lauder Ave,Appeal - Front Yard Parking,25,22,1,2018-04-21,In Favour,Yes,88
184 Rosemount Ave (former Toronto),Appeal - Front Yard Parking,34,31,0,2018-04-25,In Favour,Yes,91.17647058823529
26 Baldwin St,Boulevard Cafe,31,20,9,2018-04-21,Response Rate Not Met,No,64.51612903225806
74 Humewood Dr,Front Yard Parking,8,8,0,2018-04-26,In Favour,Yes,100
38 Maxwell Ave,Appeal - Front Yard Parking,34,32,0,2018-04-28,In Favour,Yes,94.11764705882352
604A Harvie Ave,Front Yard Parking,37,33,0,2018-05-03,In Favour,Yes,89.1891891891892
34 Ellerbeck St,Appeal - Front Yard Parking,51,23,27,2018-05-09,Opposed,Yes,45.09803921568628
106 Millwood Rd,Appeal - Front Yard Parking,38,31,2,2018-05-09,In Favour,Yes,81.57894736842105
165 Fairlawn Ave,Front Yard Parking,76,67,1,2018-05-10,In Favour,Yes,88.1578947368421
356 Bartlett Ave N,Front Yard Parking,61,31,6,2018-05-19,Opposed,Yes,50.81967213114754
535 Queen St W,Boulevard Cafe,44,40,3,2018-05-26,In Favour,Yes,90.9090909090909
1485 Dupont St,Boulevard Cafe,24,12,10,2018-06-02,Response Rate Not Met,No,50
441 Soudan Ave,Front Yard Parking,37,31,0,2018-05-26,In Favour,Yes,83.78378378378379
90 Chatsworth Dr,Front Yard Parking,25,23,2,2018-05-30,In Favour,Yes,92
581 Willard Ave,Front Yard Parking,30,16,11,2018-06-15,In Favour,Yes,53.333333333333336
71 Kings Park Blvd,Front Yard Parking,53,43,5,2018-06-21,In Favour,Yes,81.13207547169812
97 Beresford Ave,Front Yard Parking,30,28,2,2018-06-16,In Favour,Yes,93.33333333333333
88 St John's Rd,Front Yard Parking,28,28,0,2018-06-16,In Favour,Yes,100
139 Northland Ave,Front Yard Parking,59,48,1,2018-06-21,In Favour,Yes,81.35593220338984
29 Spring Grove Ave,Front Yard Parking,39,35,3,2018-06-15,In Favour,Yes,89.74358974358975
477 Church St (former Toronto),Boulevard Cafe,29,15,13,2018-06-23,Response Rate Not Met,No,51.724137931034484
137 Priscilla Ave,Front Yard Parking,38,33,1,2018-06-21,In Favour,Yes,86.8421052631579
140 Hepbourne St,Front Yard Parking,28,14,9,2018-06-27,Opposed,Yes,50
268 Prescott Ave,Front Yard Parking,37,35,0,2018-07-07,In Favour,Yes,94.5945945945946
54 Rhodes Ave,Front Yard Parking,52,38,5,2018-07-07,In Favour,Yes,73.07692307692307
324 Runnymede Rd,Front Yard Parking,45,39,1,2018-07-04,In Favour,Yes,86.66666666666667
2592 Yonge St,Boulevard Cafe,40,5,35,2018-07-12,Opposed,Yes,12.5
680 College St (former Toronto),Boulevard Cafe,22,19,3,2018-07-06,Response Rate Not Met,No,86.36363636363636
242 Lauder Ave,Front Yard Parking,46,40,4,2018-07-11,In Favour,Yes,86.95652173913044
1715 St Clair Ave W,Boulevard Cafe,48,38,3,2018-07-11,In Favour,Yes,79.16666666666666
32 Gresham Rd,Front Yard Parking,56,47,3,2018-07-12,In Favour,Yes,83.92857142857143
50 Roe Ave,Front Yard Parking,47,46,0,2018-07-27,In Favour,Yes,97.87234042553192
77 Armadale Ave,Front Yard Parking,27,18,4,2018-07-25,In Favour,Yes,66.66666666666666
90 Beech Ave,Appeal - Front Yard Parking,25,15,10,2018-08-02,In Favour,Yes,60
118 Northland Ave,Front Yard Parking,46,35,8,2018-08-29,In Favour,Yes,76.08695652173914
83 Astoria Ave,Front Yard Parking,18,13,2,2018-08-09,In Favour,Yes,72.22222222222221
2190 Bloor St W,Boulevard Cafe,13,8,5,2018-08-11,Response Rate Not Met,No,61.53846153846154
744 St Clair Ave W,Boulevard Cafe,24,4,8,2018-08-18,Opposed,Yes,16.666666666666664
798 Bloor St W,Boulevard Cafe,20,4,13,2018-08-23,Opposed,Yes,20
25 Humewood Dr,Front Yard Parking,38,19,16,2018-08-30,Opposed,Yes,50
17 Nelles Ave,Front Yard Parking,20,11,6,2018-08-29,In Favour,Yes,55.00000000000001
54 Coolmine Rd,Front Yard Parking,34,28,0,2018-08-31,In Favour,Yes,82.35294117647058
100 Aileen Ave,Appeal - Front Yard Parking,32,26,0,2018-09-01,In Favour,Yes,81.25
413A Spadina Rd,Boulevard Cafe,29,18,10,2018-09-12,Response Rate Not Met,No,62.06896551724138
375 Beresford Ave,Front Yard Parking,41,40,1,2018-09-20,In Favour,Yes,97.5609756097561
127 Greenlaw Ave,Front Yard Parking,32,26,0,2018-09-20,In Favour,Yes,81.25
596 College St (former Toronto),Boulevard Cafe,26,20,4,2018-10-18,Response Rate Not Met,No,76.92307692307693
1006 Bloor St W,Boulevard Cafe,22,13,2,2018-10-17,In Favour,Yes,59.09090909090909
177 Cedric Ave,Front Yard Parking,49,34,11,2018-10-17,In Favour,Yes,69.38775510204081
118 Everden Rd,Front Yard Parking,26,21,0,2018-10-18,In Favour,Yes,80.76923076923077
68 Hilton Ave,Front Yard Parking,37,24,4,2018-10-19,In Favour,Yes,64.86486486486487
545 Arlington Ave,Front Yard Parking,41,38,0,2019-01-03,In Favour,Yes,92.6829268292683
103 Holwood Ave,Front Yard Parking,40,35,2,2019-01-04,In Favour,Yes,87.5
1091 Queen St E,Boulevard Cafe,29,18,10,2019-01-04,In Favour,Yes,62.06896551724138
1975 Queen St E,Boulevard Cafe,26,19,6,2019-01-05,In Favour,Yes,73.07692307692307
11 River St,Commercial Boulevard Parking,8,2,6,2019-01-16,Opposed,Yes,25
177 Glenview Ave,Front Yard Parking,68,59,3,2019-01-09,In Favour,Yes,86.76470588235294
148 Glebeholme Blvd,Front Yard Parking,34,30,1,2019-01-11,In Favour,Yes,88.23529411764706
37 Wolverton Ave,Front Yard Parking,42,33,7,2019-01-10,In Favour,Yes,78.57142857142857
10 Watford Ave,Front Yard Parking,29,22,7,2019-01-10,In Favour,Yes,75.86206896551724
68 Glencairn Ave,Front Yard Parking,39,29,9,2019-01-16,In Favour,Yes,74.35897435897436
268 Jedburgh Rd,Front Yard Parking,13,10,1,2019-01-12,In Favour,Yes,76.92307692307693
30 Harwood Rd,Front Yard Parking,19,16,0,2019-01-11,In Favour,Yes,84.21052631578947
48 Pickering St,Front Yard Parking,43,31,8,2019-01-11,In Favour,Yes,72.09302325581395
21 Sylvan Ave (former Toronto),Front Yard Parking,23,20,1,2019-01-12,In Favour,Yes,86.95652173913044
9 Watford Ave,Front Yard Parking,27,16,6,2019-01-17,In Favour,Yes,59.25925925925925
36 Hendrick Ave,Front Yard Parking,48,25,13,2019-01-19,In Favour,Yes,52.083333333333336
140 Kenwood Ave,Front Yard Parking,26,23,2,2019-01-19,In Favour,Yes,88.46153846153845
623 Mount Pleasant Rd,Boulevard Cafe,20,20,0,2019-02-23,In Favour,Yes,100
59 Humewood Dr,Front Yard Parking,38,30,0,2019-02-16,In Favour,Yes,78.94736842105263
29 Connie St,Commercial Boulevard Parking,16,4,9,2019-02-23,Opposed,Yes,25
25 Hanson Rd,Front Yard Parking,22,21,0,2019-02-21,In Favour,Yes,95.45454545454545
226 Lawrence Ave W,Commercial Boulevard Parking,4,4,0,2019-02-28,In Favour,Yes,100
132 Chiltern Hill Rd,Front Yard Parking,22,22,0,2019-03-01,In Favour,Yes,100
350 Lauder Ave,Front Yard Parking,42,41,0,2019-02-28,In Favour,Yes,97.61904761904762
96 Ava Rd,Front Yard Parking,12,9,3,2019-02-27,In Favour,Yes,75
513 Sammon Ave,Front Yard Parking,47,42,0,2019-03-07,In Favour,Yes,89.36170212765957
98 Watson Ave,Front Yard Parking,62,55,2,2019-03-16,In Favour,Yes,88.70967741935483
20 Sunnybrook Rd,Front Yard Parking,25,20,1,2019-03-16,In Favour,Yes,80
800 Dundas St W,Boulevard Cafe,23,9,12,2019-03-30,Response Rate Not Met,No,39.130434782608695
191 College St (former Toronto),Boulevard Cafe,27,2,25,2019-04-05,Opposed,Yes,7.4074074074074066
768 Dundas St W,Boulevard Cafe,48,18,28,2019-04-19,Opposed,Yes,37.5
997 Bay St,Boulevard Cafe,275,100,151,2019-04-13,Response Rate Not Met,No,36.36363636363637
